library,file,line,column,file_sliced,line_sliced,column_sliced
libgcrypt,mpi-bit.c,61,5,mpi-bit.c,61,5
libgcrypt,mpi-pow.c,559,35,mpi-pow.c,185,35
libgcrypt,mpi-pow.c,617,11,mpi-pow.c,208,13
libgcrypt,mpi-pow.c,641,15,mpi-pow.c,234,17
libgcrypt,mpi-pow.c,667,11,mpi-pow.c,259,13
libgcrypt,mpi-pow.c,702,5,mpi-pow.c,273,5
mbedtls,bignum.c,365,13,bignum_sliced.c,189,9
mbedtls,bignum.c,1077,13,bignum_sliced.c,337,9
mbedtls,bignum.c,2124,21,bignum_sliced.c,1222,9
openssl_mont,bn_exp.c,364,9,bn_exp.c,240,9
openssl_mont,bn_exp.c,398,13,bn_exp.c,264,13
openssl_mont,bn_exp.c,403,17,bn_exp.c,269,17
openssl_mont,bn_exp.c,417,17,bn_exp.c,278,17
openssl_mont,bn_exp.c,419,17,bn_exp.c,282,17
openssl_mont,bn_exp.c,443,13,bn_exp.c,299,13
openssl_mont,bn_lib.c,445,5,bn_lib.c,445,5
openssl_mont_word,bn_exp.c,1219,5,bn_exp.c,344,5
openssl_mont_word,bn_exp.c,1240,13,bn_exp.c,364,13
openssl_mont_word,bn_lib.c,445,5,bn_lib.c,445,5
openssl_recp,bn_exp.c,219,14,bn_exp.c,141,14
openssl_recp,bn_exp.c,220,9,bn_exp.c,142,9
openssl_recp,bn_exp.c,242,13,bn_exp.c,161,13
openssl_recp,bn_exp.c,246,17,bn_exp.c,165,17
openssl_recp,bn_exp.c,260,17,bn_exp.c,174,17
openssl_recp,bn_exp.c,262,17,bn_exp.c,178,17
openssl_recp,bn_exp.c,286,13,bn_exp.c,195,13
openssl_recp,bn_lib.c,445,5,bn_lib.c,445,5
